Salesforce Contact Id,Cleaned Practice Areas.1
0034y00002Zjjw6AAB, Real Estate; Criminal;Environmental; General Practice
0034y00002Zjq55AAB, Health and Elder Care; Insurance; Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice; Entertainment
0034y00002Zjl8LAAR,Insurance; Health and Elder Care; General Practice
0034y00002Zjjw7AAB, Health and Elder Care; Insurance; Construction; Workers Compensation; Administra; Criminal;Real Estate; General Practice; Other (See Details); Business Litigation; Government; Civil Rights; Medical Malpractice; Immigration; Family; Professional Practices
0034y00002ZjmUkAAJ, Intellectual Property; Bankruptcy;Cyberspace; Business Transactional; General Practice; Government; Business Litigation
0034y00002Zjq56AAB,Real Estate; General Practice; Tax
0034y00002Zjl8MAAR, Bankruptcy; Employment; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002Zjm0MAAR, Bankruptcy; Employment; Constitutional; Real Estate; Administrative; Criminal;Antitrust; Business Transactional; Consumer; General Practice; Civil Rights; Family; Government; Business Litigation; Professional Practices
0034y00002CSFE2AAP,Administrative; Criminal
0034y00002Zjjw8AAB, Administrative;Workers Compensation; Government; General Practice
0034y00002ZjmUlAAJ, Health and Elder Care; Intellectual Property; Insurance; Bankruptcy; Administrative; Business Transactional;Business Litigation; General Practice; Civil Rights
0034y00002ZjhxMAAR,General Practice; Environmental; Administrative; Transportation; Government
0034y00002Zjl8NAAR, General Practice;Immigration
0034y00002CSFE3AAP,General Practice; Tax
0034y00002ZjlsgAAB,Workers Compensation; General Practice
0034y00002ZjmUmAAJ, Bankruptcy; Wills and Trusts; Personal Injury; Employment; Criminal; Business Transactional;Business Litigation; General Practice; Family
0034y00002Zjq59AAB, Insurance;Bankruptcy
0034y00002Zjl8OAAR,Real Estate; General Practice; Tax
0034y00002Zjm0OAAR, Bankruptcy; Tax; Business Transactional;Business Litigation; General Practice; Civil Rights
0034y00002CSFE5AAP,General Practice; Criminal; Business Litigation; Business litigation
0034y00002ZjmUnAAJ, Insurance; Bankruptcy; Wills and Trusts; Tax; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjhxOAAR,Real Estate; General Practice; Tax
0034y00002CSFE6AAP,Health and Elder Care; Administrative; General Practice; Business litigation
0034y00002ZjjwBAAR, Wills and Trusts; Employment;Health and Elder Care; Criminal; General Practice; Family
0034y00002ZjlsiAAB, Insurance; Bankruptcy; Environmental; Business Transactional;Business Litigation; General Practice
0034y00002CSFE7AAP,Health and Elder Care; Intellectual Property; General Practice
0036000001SNKUPAA5, Intellectual Property; Bankruptcy; Employment; Environmental; Real Estate; Business Transactional; Consumer; General Practice;Criminal; Business Litigation
0036000001SN16oAAD, Intellectual Property; Bankruptcy; Business Transactional;Business Litigation; General Practice; Civil Rights
0034y00002ZjjwCAAR, Health and Elder Care; Tax; Employment;General Practice; Administrative; Civil Rights
0034y00002Zjq5CAAR, Real Estate; Criminal;Environmental; General Practice
0034y00002Zjm0RAAR, Real Estate;Wills and Trusts; General Practice; Tax
0034y00002ZjmUqAAJ,Administrative; General Practice
0034y00002Zjq5DAAR, Health and Elder Care; Insurance; Bankruptcy; Wills and Trusts; Construction; Personal Injury; Employment; Real Estate;Workers Compensation; Business Transactional; General Practice; Civil Rights; Business Litigation; Family
0034y00002ZjhxRAAR, Intellectual Property;Business Litigation; Civil Rights
0034y00002Zjm0SAAR, Insurance; Bankruptcy; Employment; Real Estate;Cyberspace; General Practice; Government
0034y00002ZjjwEAAR, Bankruptcy; Wills and Trusts; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjlslAAB, Intellectual Property; Bankruptcy; Construction; Employment;Other (See Details); Real Estate; Business Transactional; General Practice; Business Litigation
0034y00002Zjm0TAAR, Bankruptcy; Construction; Personal Injury; Real Estate;Workers Compensation; Business Transactional; General Practice; Business Litigation
0034y00002CSFEAAA5,General Practice; Personal Injury
0036000001SOEmlAAH,Administrative; General Practice
0034y00002ZjmUsAAJ, Bankruptcy; Tax; Business Transactional;Business Litigation; General Practice; Civil Rights
0034y00002ZjhxTAAR, Health and Elder Care; Insurance; Construction; Personal Injury; Employment; Constitutional; Real Estate;Business Litigation; General Practice; Government; Professional Practices
0034y00002Zjl8UAAR, Health and Elder Care; Intellectual Property; Insurance; Bankruptcy; Construction; Personal Injury; Employment;Workers Compensation; Business Transactional; General Practice; Business Litigation
0034y00002ZjjwGAAR,Cyberspace; Government
0034y00002ZjmUtAAJ, Intellectual Property; Insurance; Bankruptcy; Securities; Tax;Cyberspace; Business Transactional; General Practice; Civil Rights; Government; Business Litigation
0034y00002Zjl8WAAR, Criminal;Family; General Practice; Employment
0034y00002Zjm0VAAR,General Practice; Criminal
0034y00002ZjjwHAAR, Bankruptcy; Wills and Trusts; Real Estate;Business Litigation; General Practice
0034y00002Zjq5HAAR, Securities; Bankruptcy; Employment; Environmental; Business Transactional;Business Litigation; General Practice
0034y00002ZjhxVAAR, Wills and Trusts; Personal Injury;General Practice; Real Estate; Criminal
0034y00002ZjpnAAAR,Environmental; Business Litigation
0034y00002ZjjwIAAR,Health and Elder Care; Medical Malpractice; General Practice; Professional Practices
0034y00002ZjmUvAAJ, Insurance; Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice; Consumer
0034y00002Zjq5IAAR, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002Zjpn7AAB, Health and Elder Care; Bankruptcy; Wills and Trusts;General Practice; Environmental; Consumer
0034y00002Zjm0XAAR,Family; General Practice; Employment
0034y00002Zjq5JAAR,General Practice; Environmental; Real Estate; Administrative; Criminal; Transportation; Government
0034y00002ZjhxXAAR, Employment; Criminal; Business Transactional;Business Litigation; General Practice; Immigration; Family
0034y00002Zjpn8AAB, General Practice; Business Transactional; Business Litigation;Bankruptcy
0036000001SNL26AAH, Entertainment;Real Estate
0036000001SOFetAAH, Bankruptcy; Construction; Employment; Real Estate; Business Transactional;Business Litigation; General Practice; Family
0034y00002ZjhxYAAR,Insurance; Health and Elder Care; General Practice
0034y00002Zjpn9AAB, Health and Elder Care; Insurance; Bankruptcy; Employment; Environmental; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002CSFOQAA5,Business Litigation; Business litigation
0034y00002Zjq5LAAR,Real Estate; General Practice; Tax
0034y00002ZjhxZAAR, Construction; Personal Injury; Real Estate; Administrative;Workers Compensation; General Practice; Government
0034y00002ZjpnBAAR, Health and Elder Care; Intellectual Property; Insurance; Bankruptcy; Wills and Trusts; Construction; Workers Compensation; Personal Injury; Environmental; Real Estate; ; Business Transactional; General Practice; Civil Rights;Criminal; Business Litigation
0034y00002CSFOSAA5,General Practice; Immigration; Business Litigation; Business litigation
0036000001SNKWcAAP, General Practice;Bankruptcy
0030e00002Nb0YrAAJ, Business Litigation;Personal Injury
0034y00002ZjmUzAAJ, Bankruptcy; Construction; Employment; Real Estate;Business Litigation; General Practice
0034y00002Zjq5MAAR,Administrative; Government; General Practice
0034y00002ZjhxaAAB, Bankruptcy; Tax; Real Estate; Administrative;Business Litigation; General Practice; Government
0034y00002ZjjwNAAR,Wills and Trusts; General Practice
0034y00002Zjq5NAAR, Intellectual Property;Cyberspace; Government
0034y00002ZjpnDAAR, Construction; Employment; Real Estate;Business Litigation; General Practice; Family
0034y00002Zjm0cAAB, Health and Elder Care; Insurance; General Practice;Personal Injury
0036000001SNL2AAAX,Criminal; Employment; General Practice; Family
0036000001SOEmvAAH,Administrative; Government; General Practice; Employment
0036000001SOFj9AAH, Health and Elder Care; Insurance; Bankruptcy; Environmental; Real Estate; Criminal;Business Litigation; General Practice
0034y00002ZjlR7AAJ, Health and Elder Care; Intellectual Property; Insurance; Bankruptcy; Construction; Personal Injury; Employment; Real Estate;Workers Compensation; Business Transactional; Consumer; General Practice; Business Litigation
0034y00002ZjpnEAAR,Insurance; Health and Elder Care; Real Estate; General Practice
0036000001SNKQcAAP, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002ZjpnFAAR, Insurance; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002CSFOWAA5,General Practice; Administrative; Business Litigation
0034y00002Zjq5QAAR, Health and Elder Care; Intellectual Property; Construction; Personal Injury; Real Estate;Workers Compensation; Criminal; General Practice
0034y00002ZjlR5AAJ, Bankruptcy; Consumer; Business Transactional;Business Litigation; General Practice
0034y00002ZjpnGAAR, Health and Elder Care; Bankruptcy; Employment; Environmental; Real Estate;Antitrust; Business Transactional; General Practice; Business Litigation
0036000001SNKQeAAP, General Practice;Bankruptcy
0034y00002Zjq5RAAR, Health and Elder Care; Insurance; Medical Malpractice;Business Litigation; General Practice; Professional Practices
0034y00002ZjpnHAAR, Real Estate;Wills and Trusts; General Practice; Tax
0034y00002CSFOYAA5, Administrative;Education
0036000001SOFjDAAX, General Practice; Business Transactional; Business Litigation;Bankruptcy
0036000001SOGdIAAX, Bankruptcy; Wills and Trusts; Employment; Real Estate; Consumer;Business Litigation; General Practice; Family
0034y00002ZjpnIAAR,Administrative; Government; General Practice
0034y00002Zjm0hAAB, Bankruptcy; Wills and Trusts; Tax; Employment; Real Estate; Business Transactional;Business Litigation; General Practice; Family
0034y00002ZjgWrAAJ, Intellectual Property; Securities; Bankruptcy;Other (See Details); Business Transactional; Consumer; General Practice; Business Litigation
0034y00002Zjq5TAAR, Bankruptcy; Personal Injury; Employment; Business Transactional;Business Litigation; General Practice
0034y00002ZjlR9AAJ, Securities; Bankruptcy; Construction; Tax; Employment; Real Estate; Business Transactional;Business Litigation; General Practice; Civil Rights; Immigration
0034y00002CSFOaAAP,General Practice; Insurance; Business Litigation
0036000001SNKQlAAP, General Practice;Civil Rights; Tax
0036000001SNL2GAAX, Health and Elder Care;General Practice
0034y00002Zjq5UAAR,Criminal; Employment; General Practice; Family
0034y00002Zjm0jAAB, Securities; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002UeXvLAAV, Bankruptcy; Wills and Trusts; Real Estate; Business Transactional;Business Litigation; General Practice; Entertainment
0036000001CnM9dAAF, General Practice; Real Estate;Immigration; Tax
0034y00002Zjq5VAAR, Health and Elder Care; Intellectual Property; Administrative;Cyberspace; General Practice; Government
0034y00002ZjlRBAAZ,Family; General Practice
0034y00002ZjpnMAAR, Bankruptcy; Wills and Trusts; Tax; Real Estate; Business Transactional;Business Litigation; General Practice
0033000000HYowdAAD, Real Estate;Environmental; Business Litigation; Personal Injury
0034y00002Zjq5WAAR, Tax; Administrative;Business Litigation; Civil Rights; General Practice
0034y00002ZjlRCAAZ, Intellectual Property; Securities; Bankruptcy;Cyberspace; Business Transactional; General Practice; Government; Business Litigation
0034y00002Zjlv0AAB,General Practice; Criminal
0034y00002ZjlRDAAZ, Bankruptcy; Tax; Employment;Other (See Details); Business Transactional; General Practice; Civil Rights; Business Litigation
0034y00002ZjpnOAAR, Intellectual Property; Bankruptcy; Cyberspace; Tax;Antitrust; Business Transactional; General Practice; Civil Rights; Government; Business Litigation
0036000001TXHyaAAH,Administrative; Government; General Practice
0034y00002ZjUleAAF, Criminal;Family; General Practice
0034y00002ZjlREAAZ, Insurance; Bankruptcy; Securities; Business Transactional;Business Litigation; General Practice
0034y00002ZjpnPAAR, Real Estate;Wills and Trusts; General Practice
0034y00002CSFOfAAP,General Practice; Criminal
0034y00002ZjpnQAAR, General Practice;Immigration
0036000001SOFjHAAX,Family; General Practice; Employment
0034y00002Zjn7AAAR,Administrative; Government; General Practice
0034y00002Zjlv5AAB, Bankruptcy;Other (See Details); Real Estate; Administrative; Business Transactional; General Practice; Business Litigation
0034y00002ZjpnRAAR, Criminal;Family; General Practice; Employment
0034y00002Zjn77AAB, General Practice;Bankruptcy
0034y00002CSFOiAAP,General Practice; Real Estate; Wills and Trusts
0034y00002ZjlRIAAZ, Insurance; Bankruptcy; Wills and Trusts; Tax; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002Zjj9NAAR,Other (See Details); Business Litigation; Personal Injury
0034y00002UeXr4AAF, Health and Elder Care; Bankruptcy; Wills and Trusts; Tax; Real Estate; Business Transactional;Business Litigation; General Practice
0036000001SNL5VAAX, Intellectual Property;Business litigation
0034y00002Zjlv9AAB, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002ZjlvAAAR, General Practice; Business Litigation;Bankruptcy
0034y00002ZjlRLAAZ, Insurance; Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002ZjlvBAAR,Other (See Details); Administrative; Government; General Practice
0034y00002ZjlRMAAZ,Wills and Trusts; General Practice
0034y00002ZjlvCAAR, Bankruptcy; Tax; Employment; Business Transactional;Business Litigation; General Practice; Civil Rights
0034y00002ZjpnZAAR,Environmental; Business Litigation
0036000001SNKYqAAP, Insurance; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002Zjn7FAAR, Health and Elder Care; Bankruptcy; Employment; Business Transactional;Business Litigation; General Practice
0034y00002Zjj9PAAR, Insurance; Bankruptcy; Securities; Wills and Trusts; Personal Injury; Tax; Construction; Employment; Real Estate;Workers Compensation; Business Transactional; General Practice; Immigration; Business Litigation; Family
0034y00002Zjn7GAAR, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002ZjlvEAAR, Real Estate; Insurance;Bankruptcy
0034y00002Zjj9QAAR,Health and Elder Care; Administrative; Transportation; General Practice; Government
0034y00002ZjlRPAAZ, Real Estate;Environmental
0034y00002Zjkx9AAB, Insurance; Bankruptcy; Business Transactional;Business Litigation; General Practice
0034y00002CSFWeAAP, Employment; Real Estate;Wills and Trusts; General Practice; Business litigation
0036000001SODZiAAP, Construction; Personal Injury; Employment; Real Estate; Administrative;Workers Compensation; General Practice; Business Litigation; Family
0034y00002ZjlvFAAR, General Practice; Personal Injury;Immigration
0034y00002Zjkx6AAB,Wills and Trusts; General Practice
0036000001SOGEMAA5, Bankruptcy; Environmental; Real Estate; Business Transactional;Business Litigation; General Practice
0030e00002NazC7AAJ, Health and Elder Care; Insurance; Bankruptcy; Personal Injury; Employment; Environmental; Business Transactional;Business Litigation; General Practice
0034y00002Zjj9TAAR, Health and Elder Care; Bankruptcy; Wills and Trusts; Construction; Personal Injury; Employment; Real Estate; Business Transactional;Business Litigation; General Practice; Family
0034y00002ZjUltAAF, Tax; Real Estate; Business Transactional;Business Litigation; General Practice; Civil Rights; Education
0034y00002ZjlRSAAZ, Environmental; Real Estate; Administrative; Criminal; Business Transactional;Business Litigation; General Practice
0034y00002Zjkx8AAB, Employment; Criminal; Business Transactional;Business Litigation; General Practice; Civil Rights; Family
0034y00002Zjn7KAAR, Bankruptcy;Other (See Details); Business Transactional; General Practice; Business Litigation
0034y00002ZjlvIAAR,General Practice; Real Estate; Environmental; Administrative; Criminal; Government
0034y00002Zjj9UAAR, General Practice; Criminal;Civil Rights; Tax
0034y00002ZjUluAAF, Environmental; Class Action; Transportation;Business Litigation; General Practice
0034y00002ZjkxAAAR, Bankruptcy; Wills and Trusts; Personal Injury; Employment;Other (See Details); Real Estate; Criminal; Business Transactional; General Practice; Business Litigation; Family
0034y00002Zjn7LAAR, Bankruptcy; Wills and Trusts; Employment;Other (See Details); Real Estate; Business Transactional; General Practice; Immigration; Business Litigation; Family
0034y00002ZjlvJAAR, Insurance; Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice
0034y00002UeXD4AAN, Wills and Trusts; Employment; Business Transactional;Business Litigation; General Practice; Family
0034y00002ZjlvKAAR, Insurance; Bankruptcy; Construction; Personal Injury;Workers Compensation; Business Transactional; General Practice; Business Litigation
0034y00002ZjkxCAAR, Employment; Business Litigation;Personal Injury
0034y00002Zjn7NAAR,Family; General Practice; Employment
0034y00002Zjj9XAAR, Criminal;Administrative; Government; General Practice
0034y00002ZjkxDAAR, Intellectual Property; Health and Elder Care; Insurance; Construction; Workers Compensation; Environmental; Real Estate;Transportation; Consumer; General Practice; Medical Malpractice; Administrati; Government; Business Litigation; Professional Practices
0034y00002CSFWlAAP, Intellectual Property; Business Transactional;Business Litigation; General Practice
0034y00002Zjn7OAAR, Health and Elder Care; Insurance; Bankruptcy; Personal Injury; Business Transactional;Business Litigation; General Practice
0034y00002ZjlvMAAR, Real Estate;Wills and Trusts; General Practice; Tax
0034y00002Zjj9YAAR, Health and Elder Care; Insurance; Construction; Personal Injury; Employment; Administrative;Workers Compensation; General Practice; Civil Rights; Government; Business Litigation
0034y00002ZjlRXAAZ, Bankruptcy; Wills and Trusts;Other (See Details); Business Transactional; General Practice; Business Litigation
0034y00002ZjkxEAAR,Administrative; Government; General Practice
0034y00002CSFWmAAP,General Practice; Employment
0036000001SNL7sAAH, Bankruptcy; Environmental; Real Estate; Administrative; Transportation; Business Transactional;Business Litigation; General Practice
0036000001TXd5UAAT, General Practice; Business Transactional; Business Litigation;Bankruptcy
0034y00002Zjn7PAAR, Construction; Employment; Real Estate;Business Litigation; General Practice
0034y00002ZjlvNAAR, Bankruptcy; Construction; Personal Injury; Real Estate;Workers Compensation; Business Transactional; General Practice; Business Litigation
0034y00002ZjmhqAAB, Bankruptcy; Wills and Trusts; Personal Injury; Employment; Environmental; Business Transactional; Consumer; General Practice; Civil Rights;Criminal; Business Litigation; Family
0036000001SNKaRAAX, General Practice;Bankruptcy
0036000001SNL7uAAH,Administrative; Government; General Practice
0034y00002Zjn7QAAR, Securities; Personal Injury; Criminal;Business Litigation; Civil Rights
0034y00002ZjpPBAAZ, Bankruptcy; Wills and Trusts;Other (See Details); Business Transactional; General Practice; Business Litigation
0034y00002Zjj9aAAB, Bankruptcy; Personal Injury; Employment; Criminal; Business Transactional;Business Litigation; General Practice; Family
0034y00002ZjlvPAAR,Insurance; Health and Elder Care; General Practice
0034y00002ZjmhoAAB, General Practice;Bankruptcy
0034y00002ZjkxHAAR, Civil Rights; Business Litigation;Personal Injury
0033000000HWsIjAAL, Real Estate; Wills and Trusts; General Practice;Personal Injury
0034y00002ZjhklAAB,Wills and Trusts; General Practice
0034y00002ZjpPDAAZ, Bankruptcy; Wills and Trusts; Environmental; Real Estate; Criminal; Business Transactional;Business Litigation; General Practice
0034y00002Zjj9cAAB, Insurance; Bankruptcy; Securities; Environmental; Business Transactional;Business Litigation; General Practice
0034y00002ZjUm3AAF, Business Transactiona; Employment; Class Action; Native American; Administrative; Business Transactional;Business Litigation; General Practice; Civil Rights; Government
0034y00002ZjmhpAAB,Other (See Details); Wills and Trusts; General Practice
0034y00002ZjpPFAAZ, Real Estate;Environmental; Bankruptcy; Insurance
0034y00002ZjkxJAAR, Insurance; Bankruptcy; Employment;Cyberspace; Business Transactional; General Practice; Government; Business Litigation
0034y00002ZjhkjAAB, Bankruptcy; Employment;General Practice; Real Estate; Criminal; Family
0034y00002ZjpPGAAZ, Intellectual Property; Tax;Other (See Details); General Practice; Civil Rights; Entertainment
0034y00002Zjj9fAAB, Criminal;Family; General Practice; Employment
0034y00002ZjmhsAAB, Health and Elder Care; Insurance; Employment;Other (See Details); General Practice
0034y00002ZjkxKAAR, Bankruptcy; Construction; Personal Injury;Workers Compensation; Business Transactional; Consumer; General Practice; Business Litigation
0036000001SODf4AAH, Real Estate;Environmental
0034y00002ZjhkkAAB, Employment;Wills and Trusts; General Practice; Family
0034y00002Zjn7WAAR, Health and Elder Care; Intellectual Property; Administrative;Cyberspace; General Practice; Government
0034y00002Zjj9gAAB, Criminal;Family; General Practice; Employment
0034y00002ZjmhtAAB, Insurance; Bankruptcy; Real Estate; Business Transactional;Business Litigation; General Practice
