Salesforce Account Id,Cleaned Practice Areas
0014y00002aVjKBAA0,Health and Elder Care; Consumer; General Practice; Construction;Workers Compensation; Administrative; Business Transactional; Employment; Bankruptcy; Insurance; Civil Rights; Business Litigation; Personal Injury
0014y00002aVllRAAS,General Practice; Criminal; Real Estate;Environmental
0010e00001QwtaWAAR,Environmental; Business Litigation
0010e00001NW4u4AAD,Business Litigation; Health and Elder Care; Transportation; Environmental; General Practice; Criminal; Family; Personal Injury
0013000000CcBUXAA3,Family;Criminal;  Personal Injury
0016000000ohOJhAAM,Criminal;General Practice
0014y00002aVi99AAC,Business Litigation; General Practice; Business Transactional; Employment; Bankruptcy; Insurance; Civil Rights; Tax
0014y00002aVjKCAA0,Business Litigation; General Practice; Business Transactional; Employment; Bankruptcy; Personal Injury
0014y00002aVllSAAS,Cyberspace; General Practice; Real Estate; Business Transactional; Employment; Intellectual Property; Bankruptcy; Civil Rights; Business Litigation; Tax; Government;Other (See Details)
0016000000d4mGFAAY,Immigration;  Family;Criminal;  Personal Injury
0016000000pG2jYAAS,Real Estate;Environmental
0014y00002aVi9AAAS,Consumer; Employment;General Practice; Bankruptcy; Family
0014y00002aVkyxAAC,Intellectual Property;Personal Injury
0014y00002aVllTAAS,Health and Elder Care; General Practice;Workers Compensation; Insurance; Personal Injury
0010e00001OCsEiAAL,Business Transactional;Real Estate
0016000000ohMTQAA2,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy; Tax
0016000000ohNQrAAM,Transportation; Environmental; Personal Injury; General Practice; Real Estate;Workers Compensation; Administrative; Construction; Employment; Civil Rights; Professional Practices; Government; Medical Malpractice
0014y00002aVi9BAAS,General Practice; Health and Elder Care;Workers Compensation; Insurance
0014y00002aVkyzAAC,General Practice;Immigration
0014y00002aVllVAAS,Environmental; General Practice; Real Estate;Workers Compensation; Construction; Business Transactional; Employment; Bankruptcy; Civil Rights; Business Litigation; Tax; Personal Injury
0014y00002aVioyAAC,Business Litigation; Health and Elder Care; General Practice; Employment; Wills and Trusts; Personal Injury
0010e00001NWhKPAA1,Criminal;  Personal Injury
0010e00001MVmgMAAT,Personal Injury; General Practice; Real Estate;Workers Compensation; Administrative; Construction; Employment; Civil Rights; Business Litigation; Government
0010e00001NWiXWAA1,Administrative;  Business Litigation;Health and Elder Care;  Business Transactional
0014y00002aVkz0AAC,Business Litigation; Environmental; General Practice; Business Transactional; Securities; Bankruptcy
0014y00002aVllWAAS,Wills and Trusts; General Practice
0014y00002Q0mzwAAB,Business Transactional;Real Estate
0014y00002gVOMIAA4,Intellectual Property;Real Estate
0014y00002aVi9EAAS,Health and Elder Care;General Practice
0014y00002aVllXAAS,Environmental; Business Litigation
0014y00002aViowAAC,Real Estate;Environmental
0016000000ohMTVAA2,Medical Malpractice; Professional Practices; General Practice
0014y00002aVioxAAC,General Practice;Family; Employment
0013000000CbRKKAA3,Wills and Trusts; General Practice
0010e00001NW7LvAAL,Business Litigation; General Practice; Business Transactional; Employment; Bankruptcy
0010e00001QRqzoAAD,Business Litigation;  Insurance;  Securities;  Business Transactional;  Health and Elder Care;  Employment;Bankruptcy
0014y00002aVllZAAS,Environmental; General Practice; Real Estate; Business Transactional; Bankruptcy;Criminal; Business Litigation
0014y00002aVi9HAAS,General Practice; Business Transactional;Cyberspace; Employment; Intellectual Property; Bankruptcy; Business Litigation; Government
0014y00002aVkz4AAC,Business Litigation; General Practice; Business Transactional; Employment; Bankruptcy; Family; Personal Injury; Immigration
0014y00002aVllaAAC,General Practice;Bankruptcy
0014y00002aVip0AAC,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy
0014y000026bvJjAAI,Personal Injury; Business Litigation;General Practice
0016000000ogdL7AAI,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy; Wills and Trusts; Tax
0010e00001NW5tkAAD,Transportation; Environmental; Personal Injury; Workers Compensation; General Practice; Real Estate; Construction; Administrative; Business Transactional; Bankruptcy; Wills and Trusts; Business Litigation; Government;Other (See Details)
0014y00002aVi9IAAS,General Practice; Government;Administrative
0014y00002aVkz5AAC,General Practice; Bankruptcy;Other (See Details)
0014y00002aVVx7AAG,Personal Injury;Workers Compensation
0014y000026bvJaAAI,General Practice; Employment;Employment
0016000000ogdL9AAI,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy; Wills and Trusts
0016000000ohOP6AAM,Business Litigation; General Practice; Real Estate; Business Transactional; Administrative; Bankruptcy; Insurance; Government
0014y00002aVi9JAAS,Wills and Trusts; Health and Elder Care; General Practice
0014y00002aVlldAAC,Criminal;Personal Injury
0010e00001NWgpHAAT,Health and Elder Care;Administrative; Personal Injury; General Practice; Employment; Civil Rights; Government
0016000000mWeGRAA0,Business Litigation; General Practice; Real Estate; Construction; Employment
0010e00001NWiXdAAL,Business Litigation;  Business Transactional
0014y00002aVkz7AAC,Business Litigation; General Practice; Administrative; Civil Rights; Government
0014y00002aVlleAAC,Tax;Real Estate; General Practice
0014y00002aVfeFAAS,Wills and Trusts; General Practice
0014y00002aVhcsAAC,Entertainment; Environmental; General Practice; Real Estate; Business Transactional; Intellectual Property; Bankruptcy;Criminal; Business Litigation; Personal Injury
0014y00002aVRUdAAO,General Practice;Immigration
0014y00002aVi9LAAS,Transportation; Environmental; Administrative; Employment;General Practice; Government
0014y00002aVkz8AAC,General Practice; Business Transactional; Business Litigation;Bankruptcy
0014y00002aVllfAAC,General Practice; Employment; Criminal; Business Litigation; Personal Injury;Other (See Details)
0014y00002aVfeCAAS,Business Litigation; Consumer; General Practice; Administrative; Bankruptcy; Insurance; Government
0016000000niylDAAQ,Administrative;General Practice
0014y00002aVhcuAAC,Criminal;Civil Rights
0014y00002aVhnoAAC,Business Litigation; Health and Elder Care; General Practice; Employment; Insurance; Personal Injury
0014y000026bvJhAAI,Business Litigation; Employment; General Practice
0014y00002PyEixAAF,Real Estate; Business Litigation
0010e00001NW6GhAAL,General Practice; Government;Administrative; Criminal
0014y00002aVhcvAAC,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy; Wills and Trusts
0014y00002aVi9NAAS,Tax;Real Estate; General Practice
0014y00002aVhnpAAC,Tax;Real Estate; General Practice
0014y00002aVllhAAC,Business Litigation; Business Transactional; Civil Rights; Employment
0014y00002aVip6AAC,General Practice; Health and Elder Care;Insurance
0016000000mWbz4AAC,Wills and Trusts;  Family;Business Transactional
0010e00001NW6wtAAD,Health and Elder Care; Construction; Real Estate; Class Action; Insurance; Civil Rights; Business Litigation; Other (See Details);Bankruptcy; Transportation; Employment; Family; Bankruptcy; Environmental; Workers Compensation; Business Transactional; Wills and Trusts; General Practice; Product Liability; Personal Injury; Medical Malpractice
0016000000ohOPDAA2,Wills and Trusts; Real Estate; Tax; General Practice
0014y00002aVi9OAAS,Business Litigation; General Practice; Business Transactional; Administrative; Constitutional; Bankruptcy; Professional Practices; Government
0014y00002aVkzBAAS,General Practice; Business Transactional; Business Litigation;Bankruptcy
0014y00002aVlliAAC,Business Litigation; General Practice; Business Transactional; Bankruptcy; Insurance; Professional Practices; Medical Malpractice
0014y00002aVfeGAAS,Business Litigation; General Practice; Business Transactional; Bankruptcy; Wills and Trusts
0013000000CbNDJAA3,Health and Elder Care; Entertainment;Administrative; General Practice; Business Transactional; Real Estate; Administrative; Employment; Intellectual Property; Bankruptcy; Wills and Trusts; Business litigation; Business Litigation; Tax; Government; Immigration; Other (See Details)
0016000000ZeIGYAA3,Real Estate;Bankruptcy
0016000000ohNR6AAM,Wills and Trusts; General Practice
0014y00002aVhcyAAC,Personal Injury; Business Litigation
0014y00002aVhnsAAC,Criminal;Personal Injury; Business Litigation
0014y00002aVlljAAC,General Practice;Immigration
0014y00002aVip8AAC,General Practice; Government; Administrative;Other (See Details)
0016000000mVo3CAAS,Business Litigation; General Practice; Business Transactional; Securities; Bankruptcy
0014y00002aVhczAAC,Business Litigation; Environmental; General Practice; Real Estate; Business Transactional; Bankruptcy
0014y00002aVhntAAC,Business Litigation; Health and Elder Care; Environmental; General Practice; Real Estate; Criminal; Insurance; Civil Rights
0014y00002aVip9AAC,Employment;General Practice; Criminal; Family; Wills and Trusts
0014y00002Q0lkYAAR,Business Litigation;  Business Transactional
0014y00002aVhd0AAC,Health and Elder Care; General Practice; Employment; Family;Other (See Details)
0014y00002aVkBYAA0,General Practice; Business Transactional; Bankruptcy; Business Litigation;Antitrust
0014y00002aVlllAAC,Business Litigation; General Practice; Business Transactional; Securities; Bankruptcy
0016000000ogdLIAAY,Health and Elder Care; General Practice; Intellectual Property; Insurance; Business Litigation;Antitrust
0013000000Cc13AAAR,Administrative;  Business Litigation
0016000000ohOPHAA2,Business Litigation; General Practice; Business Transactional; Securities; Employment; Bankruptcy
0014y00002aVfeKAAS,Business Litigation; General Practice; Business Transactional; Bankruptcy; Civil Rights
0014y00002aVipBAAS,Business Litigation; Environmental; General Practice; Real Estate; Construction; Employment
0014y00002aVjhEAAS,Tax;Real Estate; General Practice
0014y00002aVkBaAAK,General Practice; Government;Administrative; Family
0014y00002ckGboAAE,Consumer; Employment;General Practice; Criminal; Bankruptcy; Wills and Trusts; Family
0014y000026bvOAAAY,Wills and Trusts; Business Litigation;General Practice
0013000000Cb2dvAAB,General Practice; Business Transactional; Real Estate; Securities; Employment; Intellectual Property; Family; Wills and Trusts; Business Litigation; Tax;Bankruptcy
0014y00002aVjZVAA0,Environmental; General Practice; Real Estate; Business Transactional; Bankruptcy;Criminal; Insurance; Business Litigation
0014y00002aVkBbAAK,Real Estate; Securities;General Practice; Bankruptcy; Wills and Trusts; Insurance; Tax
0014y000026bvOCAAY,Business Litigation; Criminal
0016000000ogdODAAY,General Practice; Government;Administrative; Family
0010e00001NTnlFAAT,Employment;Workers Compensation; Business Litigation
0014y00002aVhd4AAC,General Practice; Criminal; Real Estate;Environmental
0014y00002ckGbmAAE,Business Litigation; Entertainment; Health and Elder Care; General Practice; Real Estate; Business Transactional; Bankruptcy; Insurance
0014y00002aVfeNAAS,Tax; Real Estate;Environmental; General Practice
0014y00002aVipEAAS,General Practice; Health and Elder Care;Insurance
0010e00001NW59IAAT,General Practice; Health and Elder Care;Insurance
0016000000mWaL5AAK,Employment;Family; Business Litigation;  Intellectual Property
0010e00001NW6SyAAL,Personal Injury;Real Estate
0014y00002aVhd5AAC,Health and Elder Care; General Practice; Workers Compensation; Construction;Real Estate; Medical Malpractice; Criminal; Family; Administra; Insurance; Civil Rights; Professional Practices; Business Litigation; Government; Immigration; Other (See Details)
0014y00002aVkBdAAK,General Practice; Business Transactional;Cyberspace; Intellectual Property; Bankruptcy; Business Litigation; Government
0014y00002ckGbnAAE,Tax;Real Estate; General Practice
0014y00002aVipFAAS,Business Litigation; General Practice; Real Estate; Business Transactional; Employment; Bankruptcy
0014y00002aVjhFAAS,Consumer; General Practice; Business Transactional; Real Estate; Administrative; Constitutional; Employment; Criminal; Bankruptcy; Government; Family; Civil Rights; Business Litigation; Professional Practices;Antitrust
0014y000026bvOEAAY,Criminal;Administrative
0013000000CbzEUAAZ,General Practice;Family; Employment
0010e00001NW5BhAAL,General Practice; Health and Elder Care;Insurance
0014y00002aVhd6AAC,General Practice; Government;Workers Compensation; Administrative
0014y00002aVjZYAA0,Criminal;Civil Rights
0014y00002aVkBeAAK,Business Litigation; Health and Elder Care; General Practice; Business Transactional; Administrative; Intellectual Property; Bankruptcy; Insurance; Civil Rights
0014y00002aVfePAAS,Transportation; Environmental; Administrative;General Practice; Government
0014y00002aVipGAAS,General Practice;Immigration
0014y000026bvOFAAY,Tax;General Practice
0016000000KEh5aAAD,Medical Malpractice;Personal Injury
0014y00002aVjZZAA0,General Practice;Workers Compensation
0014y00002aVkBfAAK,Business Litigation; General Practice; Business Transactional; Employment; Criminal; Bankruptcy; Family; Wills and Trusts; Personal Injury
0014y00002ckGbqAAE,Insurance;Bankruptcy
0014y00002aVipHAAS,Tax;Real Estate; General Practice
0014y00002aVjhHAAS,Business Litigation; General Practice; Business Transactional; Bankruptcy; Civil Rights; Tax
0014y000026bvOHAAY,Criminal; Business litigation; Business Litigation;General Practice
0010e00001ODmgaAAD,Transportation; Other (See Details); General Practice; Business Transactional; Construction; Real Estate; Product Liability; Class Action; Family; Bankruptcy; Insurance; Business Litigation; Medical Malpractice;Bankruptcy
0014y00002aVkBgAAK,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy; Wills and Trusts; Insurance; Tax
0014y00002aVfeRAAS,Tax;Real Estate; General Practice
0014y000026bvOIAAY,General Practice; Business litigation;Health and Elder Care; Administrative
0014y00002aVhd9AAC,General Practice; Employment; Criminal; Family; Wills and Trusts;Health and Elder Care
0014y00002aVjZbAAK,Business Litigation; Environmental; General Practice; Business Transactional; Bankruptcy; Insurance
0014y000026bvOJAAY,General Practice; Intellectual Property;Health and Elder Care
0016000000ogdOHAAY,Environmental; Consumer; General Practice; Real Estate; Business Transactional; Employment; Intellectual Property; Bankruptcy;Criminal; Business Litigation
0013000000Catl5AAB,Family;Criminal
0014y00002aVhdAAAS,Health and Elder Care; Administrative; Employment;General Practice; Civil Rights; Tax
0014y00002ckGbtAAE,General Practice; Criminal; Real Estate;Environmental
0014y00002aVjhKAAS,Wills and Trusts; Real Estate; Tax; General Practice
0014y00002Q0mVZAAZ,Construction;  Product Liability;Civil Rights;  Insurance
0014y00002aVkBjAAK,General Practice;Administrative
0014y00002ckGbuAAE,Health and Elder Care; General Practice; Real Estate;Workers Compensation; Construction; Business Transactional; Employment; Bankruptcy; Family; Wills and Trusts; Insurance; Civil Rights; Business Litigation; Personal Injury
0014y00002aVfeUAAS,Business Litigation; Intellectual Property; Civil Rights
0014y00002aVjhLAAS,General Practice; Real Estate;Cyberspace; Employment; Bankruptcy; Insurance; Government
0014y00002aVhdCAAS,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy; Wills and Trusts
0014y00002aVjZeAAK,General Practice; Real Estate; Construction; Business Transactional; Employment; Intellectual Property; Bankruptcy; Business Litigation;Other (See Details)
0014y00002aVjhMAAS,General Practice; Real Estate;Workers Compensation; Construction; Business Transactional; Bankruptcy; Business Litigation; Personal Injury
0016000000ohMeTAAU,General Practice;Administrative
0014y00002aVkBlAAK,Business Litigation; General Practice; Business Transactional; Bankruptcy; Civil Rights; Tax
0014y00002aVfeWAAS,Business Litigation; Health and Elder Care; Personal Injury; General Practice; Real Estate; Construction; Constitutional; Employment; Insurance; Professional Practices; Government
0014y00002aVipNAAS,Health and Elder Care; General Practice; Construction;Workers Compensation; Business Transactional; Employment; Intellectual Property; Bankruptcy; Insurance; Business Litigation; Personal Injury
0016000000ohMeUAAU,Environmental; Real Estate; Administrative;General Practice; Criminal; Government
0016000000pySC4AAM,Real Estate; Employment
0014y00002aVhdEAAS,Government;Cyberspace
0014y00002aVkBmAAK,General Practice; Business Transactional; Securities;Cyberspace; Intellectual Property; Bankruptcy; Insurance; Civil Rights; Business Litigation; Tax; Government
0014y00002aVipPAAS,General Practice; Criminal;Family; Employment
0014y00002aVjhOAAS,Criminal;General Practice
0014y00002aVhdFAAS,Business Litigation; General Practice; Real Estate; Bankruptcy; Wills and Trusts
0014y00002ckGbyAAE,Business Litigation; Environmental; General Practice; Business Transactional; Securities; Employment; Bankruptcy
0014y00002aVfeYAAS,Real Estate;General Practice; Criminal; Wills and Trusts; Personal Injury
0014y00002ckGJnAAM,Environmental; Business Litigation
0014y00002aVhdGAAS,General Practice; Medical Malpractice;Health and Elder Care; Professional Practices
0014y00002aVkBoAAK,Business Litigation; Consumer; General Practice; Real Estate; Business Transactional; Bankruptcy; Insurance
0014y00002ckGbzAAE,General Practice; Business Transactional; Business Litigation;Bankruptcy
0014y00002ckGJkAAM,Health and Elder Care; Environmental; Consumer;General Practice; Bankruptcy; Wills and Trusts
0014y00002aVjhQAAS,General Practice;Family; Employment
0013000000Cbze0AAB,Business Litigation;  Wills and Trusts
0010e00001NWQ1TAAX,Business Litigation;  Intellectual Property
0014y000026PTv8AAG,Health and Elder Care; Workers Compensation; General Practice; Real Estate; Employment; Family; Wills and Trusts;Business Transactional; Insurance; Personal Injury
0014y00002ckGc0AAE,Transportation; Environmental; Real Estate; Administrative;General Practice; Criminal; Government
0014y00002aVfeaAAC,Business Litigation; General Practice; Business Transactional; Employment; Criminal; Family; Immigration
0014y00002ckGJlAAM,General Practice; Business Transactional; Business Litigation;Bankruptcy
0016000000d3d8vAAA,Family;Criminal;  Real Estate;  Personal Injury
0016000000ogdx1AAA,Entertainment;Real Estate
0016000000ohNX0AAM,Business Litigation; General Practice; Real Estate; Construction; Business Transactional; Employment; Bankruptcy; Family
0013000000CbP9zAAF,Health and Elder Care;Administrative; Native American; Construction; Real Estate; Intellectual Property; Business Litigation; Other (See Details); Employment; Bankruptcy;Product Liability; Real Estate/Land Development; Immigration;Civil Trial; Environmental; Commercial Litigation; Business Transactional; Wills and Trusts; Tax;Real Estate/Land Development; Entertainment; Business; Civil Trial; Product Liability; Criminal; Government; Personal Injury
0014y00002aVfebAAC,General Practice; Health and Elder Care;Insurance
0014y00002ckGJmAAM,Business Litigation; Health and Elder Care; Environmental; General Practice; Real Estate; Business Transactional; Employment; Bankruptcy; Insurance
0010e00001NWhT3AAL,Health and Elder Care;Administrative; Construction; Real Estate; Class Action; Intellectual Property; Civil Rights; Business Litigation; Transportation; Employment; Bankruptcy; Family; Immigration; Environmental; Business Transactional; Securities; Wills and Trusts; Tax; Entertainment; Consumer; Antitrust; General Practice; Product Liability; Criminal; Business litigation; Personal Injury
0016000000ogdKcAAI,Consumer; General Practice; Real Estate;Workers Compensation; Construction; Business Transactional; Bankruptcy; Civil Rights; Business Litigation; Personal Injury
0016000000ogdx2AAA,Health and Elder Care; Administrative; Employment;General Practice; Criminal; Family
0013000000CboD2AAJ,Wills and Trusts; Business Transactional;Real Estate
0014y00002ckGc2AAE,Tax;Real Estate; General Practice
0014y00002aVfecAAC,Personal Injury; General Practice; Real Estate;Workers Compensation; Administrative; Construction; Government
0014y00002ckGJoAAM,Health and Elder Care; Environmental; ; Workers Compensation; General Practice; Real Estate; Construction; Business Transactional; Intellectual Property; Bankruptcy; Wills and Trusts;Criminal; Insurance; Civil Rights; Business Litigation; Personal Injury
0014y000026bvYeAAI,Business litigation; Immigration; Business Litigation;General Practice
0016000000ogdQbAAI,General Practice;Bankruptcy
0010e00001NW6YuAAL,Personal Injury; Business Litigation
0014y00002aVkBsAAK,Business Litigation; General Practice; Real Estate; Construction; Employment; Bankruptcy
0014y00002ckGc3AAE,General Practice; Government;Administrative
0014y00002aVfedAAC,Business Litigation; General Practice; Real Estate; Administrative; Bankruptcy; Tax; Government
0014y00002aVhdLAAS,Wills and Trusts; General Practice
0014y00002ckGc4AAE,Intellectual Property; Government;Cyberspace
0014y00002ckGJqAAM,Business Litigation; General Practice; Real Estate; Construction; Employment; Family
0014y00002aVjhVAAS,General Practice; Health and Elder Care;Personal Injury; Insurance
0016000000ohMedAAE,General Practice; Government;Administrative; Employment
0016000000ohNbMAAU,Business Litigation; Health and Elder Care; Environmental; General Practice; Real Estate; Criminal; Bankruptcy; Insurance
0014y00002aVj7vAAC,Health and Elder Care; Consumer; General Practice; Real Estate;Workers Compensation; Construction; Business Transactional; Employment; Intellectual Property; Bankruptcy; Insurance; Business Litigation; Personal Injury
0014y00002ckGJrAAM,General Practice; Health and Elder Care; Real Estate;Insurance
0016000000ogdKgAAI,General Practice; Business Transactional; Business Litigation;Bankruptcy
0014y00002ckGJsAAM,Business Litigation; General Practice; Business Transactional; Bankruptcy; Insurance
0010e00001NW7BdAAL,Tax;Real Estate; General Practice
0013000000CbKNGAA3,Real Estate; Business Litigation
0016000000pG2i2AAC,General Practice; Criminal; Real Estate;Environmental
0014y00002ckGc7AAE,Health and Elder Care; General Practice; Real Estate;Workers Compensation; Construction; Intellectual Property; Criminal; Personal Injury
0014y00002aVj7tAAC,Business Litigation; Consumer; General Practice; Business Transactional; Bankruptcy
0014y00002ckGJtAAM,Health and Elder Care; Environmental; General Practice; Real Estate; Business Transactional; Employment; Bankruptcy; Business Litigation;Antitrust
0016000000ohOUtAAM,Transportation; Environmental; Administrative;General Practice; Government
0014y00002ckGc8AAE,Business Litigation; Health and Elder Care; General Practice; Insurance; Professional Practices; Medical Malpractice
0014y00002ckGJuAAM,Wills and Trusts; Real Estate; Tax; General Practice
0014y000026bvYkAAI,Administrative;Education
0016000000pyShGAAU,Business Litigation;  Business Transactional
0016000000ohNbQAAU,General Practice; Business Transactional; Business Litigation;Bankruptcy
0016000000ohOUuAAM,Business Litigation; Consumer; General Practice; Real Estate; Employment; Bankruptcy; Family; Wills and Trusts
0014y00002ckGJvAAM,General Practice; Government;Administrative
0014y00002aVjhaAAC,Business Litigation; General Practice; Real Estate; Business Transactional; Employment; Bankruptcy; Family; Wills and Trusts; Tax
0010e00001QRrLnAAL,Construction;Constitutional;  Real Estate;  Personal Injury;  Family; Business Litigation;  Product Liability
0016000000ogLdiAAE,Real Estate;  Business Transactional; Business Litigation
0014y00002aVeDlAAK,Consumer; General Practice; Business Transactional; Securities; Intellectual Property; Bankruptcy; Business Litigation;Other (See Details)
0014y00002ckGcAAAU,Business Litigation; General Practice; Business Transactional; Employment; Bankruptcy; Personal Injury
0014y00002aVj7xAAC,Business Litigation; General Practice; Real Estate; Construction; Business Transactional; Securities; Employment; Bankruptcy; Civil Rights; Tax; Immigration
0014y000026bvYmAAI,Insurance; Business Litigation;General Practice
0016000000ogdKpAAI,Tax;Civil Rights; General Practice
0016000000ogdxBAAQ,Health and Elder Care;General Practice
0016000000pG2yMAAS,Tax;Real Estate; General Practice
0014y00002ckGcBAAU,General Practice; Family;Criminal; Employment
0014y00002aVjhcAAC,Business Litigation; General Practice; Business Transactional; Securities; Bankruptcy
0016000000d4JwpAAE,Tax;Immigration; Real Estate; General Practice
0016000000ogdKqAAI,Business Litigation; General Practice; Business Transactional; Bankruptcy; Personal Injury
0016000000ogdxCAAQ,General Practice; Government;Administrative; Criminal
0014y00002ckGcCAAU,Health and Elder Care; General Practice;Cyberspace; Administrative; Intellectual Property; Government
0014y00002aVj7zAAC,General Practice;Family
0014y00002ckGJzAAM,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy; Wills and Trusts; Tax
0014y00002aVjhdAAC,Employment;General Practice; Criminal; Family; Immigration
0013000000CbfTAAAZ,Personal Injury; Real Estate;Environmental; Business Litigation
0016000000ohOUyAAM,Consumer; General Practice; Business Transactional;Cyberspace; Bankruptcy; Business Litigation; Government
0014y00002ckGcDAAU,Business Litigation; General Practice; Administrative; Civil Rights; Tax
0014y00002aVj80AAC,General Practice; Business Transactional; Securities;Cyberspace; Intellectual Property; Bankruptcy; Business Litigation; Government
0014y00002aVjbtAAC,Criminal;General Practice
0014y00002aVj81AAC,General Practice; Business Transactional; Employment; Bankruptcy; Civil Rights; Business Litigation; Tax;Other (See Details)
0014y00002ckGK1AAM,Cyberspace; General Practice; Business Transactional; Intellectual Property; Bankruptcy; Government; Civil Rights; Business Litigation; Tax;Antitrust
0016000000pG2pJAAS,General Practice; Government;Administrative
0014y00002aVSWtAAO,General Practice; Criminal;Family
0014y00002aVj82AAC,Business Litigation; General Practice; Business Transactional; Securities; Bankruptcy; Insurance
0014y00002ckGK2AAM,Wills and Trusts; Real Estate; General Practice
0014y000026bvYrAAI,Criminal;General Practice
0014y00002ckGK3AAM,General Practice;Immigration
0016000000ohNbUAAU,General Practice;Family; Employment
0014y00002aVko3AAC,General Practice; Government;Administrative
0014y00002aVjbyAAC,General Practice; Real Estate; Business Transactional; Administrative; Bankruptcy; Business Litigation;Other (See Details)
0014y00002ckGK4AAM,General Practice; Criminal;Family; Employment
0014y00002aVko0AAC,General Practice;Bankruptcy
0014y000026bvYuAAI,Wills and Trusts; Real Estate;General Practice
0016000000oge0JAAQ,General Practice; Insurance; Business Litigation;Bankruptcy
0014y00002aVj86AAC,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy; Wills and Trusts; Insurance; Tax
0016000000oge0KAAQ,Business Litigation; Health and Elder Care; Environmental; General Practice; Real Estate; Business Transactional; Administrative; Employment; Bankruptcy; Insurance; Government
0014y00002aViwCAAS,Personal Injury; Business Litigation;Other (See Details)
0016000000ogdSnAAI,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy
0013000000CbUy3AAF,Business Litigation; Securities; Employment; Intellectual Property; Business litigation
0014y00002aVko4AAC,Employment;Workers Compensation; Business Litigation; General Practice
0014y00002aVjc2AAC,General Practice; Business Transactional; Business Litigation;Bankruptcy
0014y00002aVjc3AAC,General Practice; Business Litigation;Bankruptcy
0014y00002aVj89AAC,Business Litigation; General Practice; Real Estate; Business Transactional; Bankruptcy; Insurance
0014y00002aVjc4AAC,General Practice; Government; Administrative;Other (See Details)
0014y00002aVj8AAAS,Wills and Trusts; General Practice
0014y00002aVjc5AAC,Business Litigation; General Practice; Business Transactional; Employment; Bankruptcy; Civil Rights; Tax
0014y00002ckGKCAA2,Environmental; Business Litigation
0016000000ogdSpAAI,Business Litigation; General Practice; Business Transactional; Bankruptcy; Insurance
0014y00002aVko8AAC,Business Litigation; Health and Elder Care; General Practice; Business Transactional; Employment; Bankruptcy
0014y00002aVgqNAAS,General Practice; Real Estate;Workers Compensation; Business Transactional; Construction; Employment; Securities; Bankruptcy; Family; Wills and Trusts; Insurance; Business Litigation; Tax; Personal Injury; Immigration
0014y00002aVko9AAC,General Practice; Business Transactional; Business Litigation;Bankruptcy
